episode,orig_s,trimmed_s,new_s,speedup,n_segments,n_pauses,retimed_frac,vel_ratio_max,acc_ratio_max,vel_ratio_p99,acc_ratio_p99,demo_vel_ratio_max,demo_acc_ratio_max,steps
146,40.0333,40.0333,29.8000,1.3434,15,14,0.8221,1.0578,1.0753,0.7149,0.7322,5.7401,3.5974,3
147,40.0333,39.6667,29.4000,1.3617,14,13,0.9456,1.0674,1.0738,0.7498,0.7389,1.6208,1.5839,3
148,40.0333,38.6667,27.7333,1.4435,14,13,0.9531,1.1870,1.0123,0.7666,0.7224,1.9860,2.1584,3
149,40.0000,40.0000,29.1000,1.3746,15,14,0.9874,1.1051,1.1064,0.7799,0.7277,2.4845,2.5078,3
150,40.0333,36.6333,28.9000,1.3852,12,11,0.6298,1.3221,1.2747,0.7081,0.7320,2.4251,1.9812,3
151,40.0333,40.0333,27.5667,1.4522,21,20,0.8162,1.1486,1.2380,0.6396,0.6978,3.2166,1.9963,3
152,40.0333,39.9333,33.5000,1.1950,11,10,0.8458,1.5709,1.7570,0.8625,0.7501,3.5432,2.9062,3
153,40.0333,39.2333,30.5667,1.3097,9,8,0.8212,1.3338,1.0513,0.7814,0.7367,3.8583,2.8860,3
154,40.0333,40.0333,36.7000,1.0908,7,6,0.6094,1.1380,1.4263,0.8450,0.7503,4.5371,2.7057,3
155,40.0333,39.8000,32.3333,1.2381,12,11,0.9598,1.4423,1.2423,0.8205,0.7614,2.9992,3.3235,3
156,40.0333,39.6333,27.8667,1.4366,16,15,0.9282,1.1051,1.2261,0.7556,0.6764,2.4769,2.1319,3
157,40.0000,40.0000,31.2333,1.2807,12,11,0.9338,1.2898,1.4632,0.8321,0.7638,7.1612,3.4823,3
158,40.0333,38.6667,32.1667,1.2446,10,9,0.9513,1.1378,1.1439,0.8431,0.7565,2.0616,2.0343,3
159,40.0333,39.4000,29.4000,1.3617,14,13,0.8730,1.0959,1.3223,0.7800,0.7227,1.7314,1.9969,3
160,40.0333,38.0667,31.9667,1.2523,9,8,0.9885,1.3095,1.1357,0.8398,0.7748,4.1656,2.5719,3
161,40.0333,40.0333,32.3000,1.2394,13,12,0.9340,1.0821,1.1572,0.8004,0.7727,1.7238,1.7084,3
162,40.0333,39.8333,29.2667,1.3679,11,10,0.9556,1.2845,1.1317,0.7835,0.7250,2.6507,2.1414,3
163,40.0333,35.2000,27.4333,1.4593,11,10,0.8214,1.2820,1.0795,0.7804,0.6965,3.9025,2.8660,3
164,40.0333,38.6333,29.4333,1.3601,12,11,0.8822,1.0930,1.4013,0.7796,0.7331,3.2553,2.7735,3
165,40.0000,35.8000,27.7667,1.4406,11,10,0.8523,1.1358,1.0892,0.8232,0.7276,2.2533,2.1081,3
166,40.0000,35.4667,27.6000,1.4493,12,11,0.8514,1.2416,1.1398,0.8747,0.7079,2.2813,2.1070,3
167,40.0000,38.5000,29.8333,1.3408,16,15,0.8525,1.1181,1.0230,0.7823,0.7188,2.3618,2.2676,3
168,40.0333,34.3667,27.0667,1.4791,13,12,0.6933,1.0554,1.3509,0.7795,0.7078,3.8978,2.4124,3
169,40.0000,40.0000,29.9333,1.3363,18,17,0.9076,1.2857,1.4218,0.8224,0.7251,3.3027,2.0687,3
