episode,orig_s,trimmed_s,new_s,speedup,n_segments,n_pauses,retimed_frac,vel_ratio_max,acc_ratio_max,vel_ratio_p99,acc_ratio_p99,demo_vel_ratio_max,demo_acc_ratio_max,steps
184,40.0000,39.1667,33.7333,1.1858,17,16,0.1443,0.2622,0.7407,0.1083,0.2631,1.6564,1.6019,3
185,40.0000,37.5000,34.0667,1.1742,12,11,0.0949,0.2325,0.7254,0.0830,0.2705,1.8147,1.8817,3
186,40.0000,38.5333,34.5667,1.1572,16,15,0.1196,0.2529,0.8033,0.1095,0.2438,1.3097,1.3552,3
187,40.0333,39.1333,35.7667,1.1193,13,12,0.1016,0.2759,0.5773,0.0927,0.1952,3.2450,1.8522,3
188,40.0333,39.1333,34.4333,1.1626,19,18,0.1530,0.3255,0.7021,0.1061,0.2485,1.5233,1.6352,3
189,40.0333,38.9667,34.5333,1.1593,15,14,0.1149,0.3226,0.7233,0.0917,0.2123,1.9073,1.8858,3
190,40.0333,39.2333,34.9333,1.1460,19,18,0.1422,0.2046,0.8251,0.0951,0.2454,2.2099,1.9584,3
191,40.0333,39.8333,34.6333,1.1559,15,14,0.1319,0.3149,1.1518,0.0938,0.3099,6.0910,3.5038,3
192,40.0000,39.6333,35.3333,1.1321,11,10,0.0840,0.2569,0.8441,0.1115,0.2257,4.2463,3.3145,3
193,40.0333,40.0333,37.2000,1.0762,9,8,0.0681,0.2812,0.6659,0.0766,0.2520,2.7891,2.6204,3
194,40.0000,40.0000,36.7000,1.0899,9,8,0.0799,0.3099,1.2574,0.1906,0.2675,2.1550,2.0635,3
195,40.0000,39.1333,32.8667,1.2170,17,16,0.1420,0.1989,0.7937,0.0699,0.2523,5.0023,3.0122,3
196,40.0333,40.0333,34.3667,1.1649,15,14,0.1329,0.2810,0.6495,0.1356,0.2356,1.9866,1.7102,3
197,40.0000,39.2333,36.2000,1.1050,13,12,0.0967,0.2418,0.7295,0.1003,0.1909,1.7381,1.8571,3
198,40.0333,40.0333,36.9000,1.0849,17,16,0.1210,0.2825,0.8043,0.1094,0.2804,1.4652,1.4812,3
199,40.0000,40.0000,36.2000,1.1050,14,13,0.1142,0.2234,0.7737,0.1303,0.2096,2.2527,2.0681,3
200,40.0000,40.0000,33.5333,1.1928,17,16,0.1590,0.3082,0.7337,0.1040,0.2213,3.2624,2.8909,3
201,40.0333,40.0333,35.7667,1.1193,17,16,0.1240,0.3099,0.9024,0.0859,0.2732,5.7627,2.8973,3
202,40.0333,39.0667,36.2000,1.1059,12,11,0.0856,0.2754,0.9655,0.1324,0.3121,2.2956,1.9600,3
203,40.0333,39.8000,36.7667,1.0888,19,18,0.1387,0.3021,1.1287,0.0902,0.2614,2.0688,1.8740,3
204,40.0333,38.8667,36.0667,1.1100,11,10,0.0684,0.2284,0.6668,0.1055,0.3142,2.7520,2.1204,3
205,40.0333,39.3000,36.9000,1.0849,11,10,0.0714,0.2587,1.0463,0.0850,0.2997,3.3686,3.7133,3
206,40.0000,38.8000,33.3667,1.1988,18,17,0.1469,0.3696,0.7999,0.1288,0.2597,1.8181,1.7191,3
207,40.0333,37.2333,32.5667,1.2293,11,10,0.1064,0.2727,0.7505,0.0986,0.2356,2.4046,2.0392,3
208,40.0000,40.0000,34.4667,1.1605,17,16,0.1373,0.2009,0.7987,0.1230,0.2567,1.7893,1.5003,3
209,40.0333,39.7667,34.9000,1.1471,17,16,0.1366,0.2723,0.7807,0.1046,0.2291,3.2644,2.6695,3
210,40.0333,40.0333,33.8333,1.1833,17,16,0.1468,0.1891,0.8445,0.1004,0.1911,1.7688,1.7200,3
211,40.0000,34.5000,29.5333,1.3544,19,18,0.1975,0.4052,1.6610,0.1740,0.2852,2.3977,1.9667,3
212,40.0333,40.0333,35.2667,1.1352,17,16,0.1285,0.2633,0.8217,0.0893,0.2713,2.1803,1.4671,3
